,,,,,,,,,,
,,,,,,,,,,
Course,R.Y,Members R. retention,R.Graduates,R.Dropout,Retention Rate,Cmlt Graduation,Cmlt Dropout,A.Graduation Rate,A.Dropout Rate,Pandemic
ENGENHARIA MECÂNICA,2022,45,5,0,"69,2","7,7","23,1","7,7","0,0","1,0"
ENGENHARIA CIVIL,2018,68,0,4,"94,4","0,0","5,6","0,0","5,6","0,0"
ENGENHARIA CIVIL,2019,60,1,7,"83,3","1,4","15,3","1,4","9,7","0,0"
ENGENHARIA CIVIL,2020,51,0,9,"70,8","1,4","27,8","0,0","12,5","1,0"
ENGENHARIA CIVIL,2021,47,2,2,"65,3","4,2","30,6","2,8","2,8","1,0"
ENGENHARIA CIVIL,2022,40,5,2,"55,6","11,1","33,3","6,9","2,8","1,0"
ENGENHARIA DE PRODUÇÃO,2018,75,0,2,"97,4","0,0","2,6","0,0","2,6","0,0"
ENGENHARIA DE PRODUÇÃO,2019,68,0,7,"88,3","0,0","11,7","0,0","9,1","0,0"
ENGENHARIA DE PRODUÇÃO,2020,65,2,1,"84,4","2,6","13,0","2,6","1,3","1,0"
ENGENHARIA DE PRODUÇÃO,2021,57,7,1,"74,0","11,7","14,3","9,1","1,3","1,0"
ENGENHARIA DE PRODUÇÃO,2022,47,7,3,"61,0","20,8","18,2","9,1","3,9","1,0"
ENGENHARIA AMBIENTAL,2018,40,0,1,"97,6","0,0","2,4","0,0","2,4","0,0"
ENGENHARIA AMBIENTAL,2019,31,0,9,"75,6","0,0","24,4","0,0","22,0","0,0"
ENGENHARIA AMBIENTAL,2020,25,0,6,"61,0","0,0","39,0","0,0","14,6","1,0"
ENGENHARIA AMBIENTAL,2021,25,0,0,"61,0","0,0","39,0","0,0","0,0","1,0"
ENGENHARIA AMBIENTAL,2022,19,2,4,"46,3","4,9","48,8","4,9","9,8","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2018,66,0,5,"93,0","0,0","7,0","0,0","7,0","0,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2019,55,0,11,"77,5","0,0","22,5","0,0","15,5","0,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2020,49,0,6,"69,0","0,0","31,0","0,0","8,5","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2021,47,0,2,"66,2","0,0","33,8","0,0","2,8","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2022,34,5,8,"47,9","7,0","45,1","7,0","11,3","1,0"
ENGENHARIA DE PRODUÇÃO,2018,77,0,5,"93,9","0,0","6,1","0,0","6,1","0,0"
ENGENHARIA DE PRODUÇÃO,2019,64,1,12,"78,0","1,2","20,7","1,2","14,6","0,0"
ENGENHARIA DE PRODUÇÃO,2020,51,1,12,"62,2","2,4","35,4","1,2","14,6","1,0"
ENGENHARIA DE PRODUÇÃO,2021,49,0,2,"59,8","2,4","37,8","0,0","2,4","1,0"
ENGENHARIA DE PRODUÇÃO,2022,36,5,8,"43,9","8,5","47,6","6,1","9,8","1,0"
ENGENHARIA MECÂNICA,2018,63,0,4,"94,0","0,0","6,0","0,0","6,0","0,0"
ENGENHARIA MECÂNICA,2019,58,0,5,"86,6","0,0","13,4","0,0","7,5","0,0"
ENGENHARIA MECÂNICA,2020,50,1,7,"74,6","1,5","23,9","1,5","10,4","1,0"
ENGENHARIA MECÂNICA,2021,46,0,4,"68,7","1,5","29,9","0,0","6,0","1,0"
ENGENHARIA MECÂNICA,2022,36,5,5,"53,7","9,0","37,3","7,5","7,5","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,83,0,4,"95,4","0,0","4,6","0,0","4,6","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,66,0,17,"75,9","0,0","24,1","0,0","19,5","0,0"
ENGENHARIA DE COMPUTAÇÃO,2020,54,0,12,"62,1","0,0","37,9","0,0","13,8","1,0"
ENGENHARIA DE COMPUTAÇÃO,2021,46,2,6,"52,9","2,3","44,8","2,3","6,9","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,35,1,10,"40,2","3,4","56,3","1,1","11,5","1,0"
ENGENHARIA ELÉTRICA,2018,73,0,5,"93,6","0,0","6,4","0,0","6,4","0,0"
ENGENHARIA ELÉTRICA,2019,62,0,11,"79,5","0,0","20,5","0,0","14,1","0,0"
ENGENHARIA ELÉTRICA,2020,53,0,9,"67,9","0,0","32,1","0,0","11,5","1,0"
ENGENHARIA ELÉTRICA,2021,47,3,3,"60,3","3,8","35,9","3,8","3,8","1,0"
ENGENHARIA ELÉTRICA,2022,33,0,14,"42,3","3,8","53,8","0,0","17,9","1,0"
ENGENHARIA CIVIL,2018,80,0,10,"88,9","0,0","11,1","0,0","11,1","0,0"
ENGENHARIA CIVIL,2019,69,0,11,"76,7","0,0","23,3","0,0","12,2","0,0"
